year,entity,type_of_crime,count
2015,Guerrero,Prisoner escape,0
2015,Guerrero,Property damage,1954
2015,Guerrero,Robbery,12600
2015,Guerrero,Sexual abuse,251
2015,Guerrero,Sexual harassment,21
2015,Guerrero,Simple rape,252
2015,Guerrero,Threats,1258
2015,Hidalgo,Abduction,1
2015,Hidalgo,Abortion,24
2015,Hidalgo,Aggravated rape,0
2015,Hidalgo,Burglary,295
2015,Hidalgo,Child trafficking,1
2015,Hidalgo,Corruption of minors,19
2015,Hidalgo,Counterfeiting,98
2015,Hidalgo,Crimes committed by public officials,2
2015,Hidalgo,Dispossession,640
2015,Hidalgo,Domestic violence,2294
2015,Hidalgo,Drug trafficking (small-scale),111
2015,Hidalgo,Electoral crimes,0
2015,Hidalgo,Embezzlement,535
2015,Hidalgo,Environmental crimes,5
2015,Hidalgo,Extortion,42
2015,Hidalgo,Feminicide,0
2015,Hidalgo,Forgery,75
2015,Hidalgo,Fraud,898
2015,Hidalgo,Gender-based violence in all its forms other than domestic violence,0
2015,Hidalgo,Homicide,651
2015,Hidalgo,Human trafficking,2
2015,Hidalgo,Incest,1
2015,Hidalgo,Injuries,3693
2015,Hidalgo,Kidnapping,19
2015,Hidalgo,Non-compliance with family support obligations,633
2015,Hidalgo,Other common law crimes,2281
2015,Hidalgo,Other crimes against heritage or property,7
2015,Hidalgo,Other crimes against life and bodily integrity,92
2015,Hidalgo,Other crimes against personal freedom,798
2015,Hidalgo,Other crimes against sexual freedom and security,81
2015,Hidalgo,Other crimes against society,0
2015,Hidalgo,Other crimes against the family,0
2015,Hidalgo,Prisoner escape,0
2015,Hidalgo,Property damage,1782
2015,Hidalgo,Robbery,9866
2015,Hidalgo,Sexual abuse,158
2015,Hidalgo,Sexual harassment,124
2015,Hidalgo,Simple rape,348
2015,Hidalgo,Threats,1928
2015,Jalisco,Abduction,0
2015,Jalisco,Abortion,23
2015,Jalisco,Aggravated rape,6
2015,Jalisco,Burglary,554
2015,Jalisco,Child trafficking,4
2015,Jalisco,Corruption of minors,128
2015,Jalisco,Counterfeiting,1394
2015,Jalisco,Crimes committed by public officials,1414
2015,Jalisco,Dispossession,1458
2015,Jalisco,Domestic violence,8543
2015,Jalisco,Drug trafficking (small-scale),5045
2015,Jalisco,Electoral crimes,45
2015,Jalisco,Embezzlement,792
2015,Jalisco,Environmental crimes,17
2015,Jalisco,Extortion,831
2015,Jalisco,Feminicide,62
2015,Jalisco,Forgery,208
2015,Jalisco,Fraud,6587
2015,Jalisco,Gender-based violence in all its forms other than domestic violence,0
2015,Jalisco,Homicide,1736
2015,Jalisco,Human trafficking,0
2015,Jalisco,Incest,1
2015,Jalisco,Injuries,11285
2015,Jalisco,Kidnapping,20
2015,Jalisco,Non-compliance with family support obligations,0
2015,Jalisco,Other common law crimes,8494
2015,Jalisco,Other crimes against heritage or property,0
2015,Jalisco,Other crimes against life and bodily integrity,0
2015,Jalisco,Other crimes against personal freedom,415
2015,Jalisco,Other crimes against sexual freedom and security,157
2015,Jalisco,Other crimes against society,0
2015,Jalisco,Other crimes against the family,1319
2015,Jalisco,Prisoner escape,7
2015,Jalisco,Property damage,7496
2015,Jalisco,Robbery,27501
2015,Jalisco,Sexual abuse,1572
2015,Jalisco,Sexual harassment,154
2015,Jalisco,Simple rape,367
2015,Jalisco,Threats,7696
2015,Michoacán de Ocampo,Abduction,0
2015,Michoacán de Ocampo,Abortion,9
2015,Michoacán de Ocampo,Aggravated rape,3
2015,Michoacán de Ocampo,Burglary,135
2015,Michoacán de Ocampo,Child trafficking,3
2015,Michoacán de Ocampo,Corruption of minors,29
2015,Michoacán de Ocampo,Counterfeiting,171
2015,Michoacán de Ocampo,Crimes committed by public officials,266
2015,Michoacán de Ocampo,Dispossession,328
2015,Michoacán de Ocampo,Domestic violence,921
2015,Michoacán de Ocampo,Drug trafficking (small-scale),1136
2015,Michoacán de Ocampo,Electoral crimes,81
2015,Michoacán de Ocampo,Embezzlement,169
2015,Michoacán de Ocampo,Environmental crimes,78
2015,Michoacán de Ocampo,Extortion,43
2015,Michoacán de Ocampo,Feminicide,12
2015,Michoacán de Ocampo,Forgery,12
2015,Michoacán de Ocampo,Fraud,512
2015,Michoacán de Ocampo,Gender-based violence in all its forms other than domestic violence,0
2015,Michoacán de Ocampo,Homicide,2041
2015,Michoacán de Ocampo,Human trafficking,8
2015,Michoacán de Ocampo,Incest,0
2015,Michoacán de Ocampo,Injuries,4330
2015,Michoacán de Ocampo,Kidnapping,31
2015,Michoacán de Ocampo,Non-compliance with family support obligations,154
2015,Michoacán de Ocampo,Other common law crimes,1677
2015,Michoacán de Ocampo,Other crimes against heritage or property,7
2015,Michoacán de Ocampo,Other crimes against life and bodily integrity,34
2015,Michoacán de Ocampo,Other crimes against personal freedom,278
2015,Michoacán de Ocampo,Other crimes against sexual freedom and security,38
2015,Michoacán de Ocampo,Other crimes against society,3
2015,Michoacán de Ocampo,Other crimes against the family,97
2015,Michoacán de Ocampo,Prisoner escape,2
2015,Michoacán de Ocampo,Property damage,1217
2015,Michoacán de Ocampo,Robbery,16001
2015,Michoacán de Ocampo,Sexual abuse,273
2015,Michoacán de Ocampo,Sexual harassment,37
2015,Michoacán de Ocampo,Simple rape,316
2015,Michoacán de Ocampo,Threats,447
2015,Morelos,Abduction,0
2015,Morelos,Abortion,12
2015,Morelos,Aggravated rape,2
2015,Morelos,Burglary,462
2015,Morelos,Child trafficking,4
2015,Morelos,Corruption of minors,39
2015,Morelos,Counterfeiting,270
2015,Morelos,Crimes committed by public officials,87
2015,Morelos,Dispossession,957
2015,Morelos,Domestic violence,4034
2015,Morelos,Drug trafficking (small-scale),734
2015,Morelos,Electoral crimes,44
2015,Morelos,Embezzlement,709
2015,Morelos,Environmental crimes,12
2015,Morelos,Extortion,172
2015,Morelos,Feminicide,15
2015,Morelos,Forgery,112
2015,Morelos,Fraud,1780
2015,Morelos,Gender-based violence in all its forms other than domestic violence,0
2015,Morelos,Homicide,851
2015,Morelos,Human trafficking,18
2015,Morelos,Incest,0
2015,Morelos,Injuries,4686
2015,Morelos,Kidnapping,32
2015,Morelos,Non-compliance with family support obligations,253
2015,Morelos,Other common law crimes,5019
2015,Morelos,Other crimes against heritage or property,262
2015,Morelos,Other crimes against life and bodily integrity,425
2015,Morelos,Other crimes against personal freedom,237
2015,Morelos,Other crimes against sexual freedom and security,112
2015,Morelos,Other crimes against society,4
2015,Morelos,Other crimes against the family,278
2015,Morelos,Prisoner escape,4
2015,Morelos,Property damage,3018
2015,Morelos,Robbery,20564
2015,Morelos,Sexual abuse,352
2015,Morelos,Sexual harassment,88
2015,Morelos,Simple rape,415
2015,Morelos,Threats,3182
2015,México,Abduction,0
2015,México,Abortion,71
2015,México,Aggravated rape,581
2015,México,Burglary,1421
2015,México,Child trafficking,6
2015,México,Corruption of minors,85
2015,México,Counterfeiting,1671
2015,México,Crimes committed by public officials,2899
2015,México,Dispossession,3178
2015,México,Domestic violence,4722
2015,México,Drug trafficking (small-scale),959
2015,México,Electoral crimes,266
2015,México,Embezzlement,2704
2015,México,Environmental crimes,232
2015,México,Extortion,1580
2015,México,Feminicide,60
2015,México,Forgery,97
2015,México,Fraud,5142
2015,México,Gender-based violence in all its forms other than domestic violence,1099
2015,México,Homicide,3097
2015,México,Human trafficking,46
2015,México,Incest,0
2015,México,Injuries,63716
2015,México,Kidnapping,163
2015,México,Non-compliance with family support obligations,3350
2015,México,Other common law crimes,40802
2015,México,Other crimes against heritage or property,44
